product_id,product_name,brand,ingredient,condition,severity_level,skin_type,product_type,price,rating,image_url
101,Salicylic Cleanser,Minimalist,Salicylic Acid,Acne,Mild,Oily,Cleanser,299,4.2,product_images/101.jpg
102,Acne Control Gel,The Derma Co,Benzoyl Peroxide,Acne,Moderate,Oily,Gel,399,4.1,product_images/102.jpg
103,Adapalene 0.1% Gel,Galderma,Adapalene,Acne,Severe,Oily,Gel,550,4.5,product_images/103.jpg
104,Oil Free Serum,Plum,Niacinamide,Acne,Mild,Oily,Serum,499,4.3,product_images/104.jpg
105,Acne Repair Cream,1Rx,Azelaic Acid,Acne,Moderate,Oily,Cream,599,4.4,product_images/105.jpg
106,Retinol Night Gel,Minimalist,Retinol,Acne,Severe,Oily,Gel,699,4.2,product_images/106.jpg
107,Pore Minimizer Serum,Pilgrim,Niacinamide,Acne,Mild,Oily,Serum,450,4,product_images/107.jpg
108,Anti Acne Face Wash,The Derma Co,Salicylic Acid,Acne,Moderate,Oily,Cleanser,349,4.3,product_images/108.jpg
109,Sulfur Spot Treatment,Fixderma,Sulfur Cleanser,Acne,Severe,Oily,Gel,520,4.1,product_images/109.jpg
110,Hydrating Acne Gel,Dot & Key,Hyaluronic Acid,Acne,Mild,Oily,Gel,399,4.2,product_images/110.jpg
201,Redness Relief Cream,Cetaphil,Azelaic Acid,Rosacea,Mild,Sensitive,Cream,799,4.3,product_images/201.jpg
202,Metro Gel,Glenmark,Metronidazole,Rosacea,Severe,Sensitive,Gel,650,4.4,product_images/202.jpg
203,Calming Moisturizer,Minimalist,Ceramide Moisturizer,Rosacea,Mild,Sensitive,Cream,899,4.5,product_images/203.jpg
204,Sensitive Cleanser,Simple,Mild Cleanser,Rosacea,Mild,Sensitive,Cleanser,325,4.2,product_images/204.jpg
205,Sulfur Therapy Wash,Fixderma,Sulfur Cleanser,Rosacea,Moderate,Sensitive,Cleanser,499,4.1,product_images/205.jpg
206,Tacrolimus Ointment,Glenmark,Tacrolimus Ointment,Rosacea,Severe,Sensitive,Ointment,720,4.3,product_images/206.jpg
207,Barrier Repair Cream,Minimalist,Ceramide Cream,Rosacea,Moderate,Sensitive,Cream,599,4.2,product_images/207.jpg
208,Soothing Serum,Pilgrim,Niacinamide,Rosacea,Mild,Sensitive,Serum,450,4.1,product_images/208.jpg
209,Hydra Calm Gel,Dot & Key,Hyaluronic Acid,Rosacea,Mild,Sensitive,Gel,399,4.2,product_images/209.jpg
210,SPF 50 Sunscreen,La Shield,SPF Moisturizer,Rosacea,Moderate,Sensitive,Sunscreen,499,4.3,product_images/210.jpg
301,Eczema Relief Cream,cetaphil,Hydrocortisone Cream,Eczema,Severe,Dry,Cream,650,4.4,product_images/301.jpg
302,Moisture Lock Cream,Minimalist,Ceramide Cream,Eczema,Mild,Dry,Cream,799,4.5,product_images/302.jpg
303,Hydrating Lotion,Minimalist,Hyaluronic Acid,Eczema,Mild,Dry,Serum,499,4.2,product_images/303.jpg
304,Urea Repair Cream,The Derma Co,Urea Moisturizer,Eczema,Moderate,Dry,Cream,550,4.3,product_images/304.jpg
305,Tacrolimus Ointment 0.03%,Glenmark,Tacrolimus Ointment,Eczema,Severe,Dry,Ointment,750,4.4,product_images/305.jpg
306,Barrier Boost Cream,Minimalist,Ceramide Moisturizer,Eczema,Moderate,Dry,Cream,699,4.3,product_images/306.jpg
307,Soothing Cleanser,Simple,Mild Cleanser,Eczema,Mild,Dry,Cleanser,325,4.1,product_images/307.jpg
308,Vitamin C Serum,Plum,Vitamin C Serum,Eczema,Mild,Dry,Serum,499,4,product_images/308.jpg
309,SPF 30 Lotion,Nivea,SPF Moisturizer,Eczema,Mild,Dry,Sunscreen,299,4.2,product_images/309.jpg
310,Anti Itch Cream,Bioderma,Hydrocortisone Cream,Eczema,Severe,Dry,Cream,680,4.3,product_images/310.jpg
401,Dark Spot Serum,Minimalist,Vitamin C Serum,Darkspots,Mild,All,Serum,599,4.4,product_images/401.jpg
402,Niacinamide 10% Serum,Plum,Niacinamide,Darkspots,Moderate,All,Serum,499,4.3,product_images/402.jpg
403,Retinol Night Cream,Olay,Retinol,Darkspots,Severe,All,Cream,999,4.5,product_images/403.jpg
404,Azelaic Bright Cream,The Derma Co,Azelaic Acid,Darkspots,Moderate,All,Cream,699,4.3,product_images/404.jpg
405,Glow Peptide Serum,Pilgrim,Peptides,Darkspots,Mild,All,Serum,550,4.2,product_images/405.jpg
406,Hydra Glow Gel,Dot & Key,Hyaluronic Acid,Darkspots,Mild,All,Gel,399,4.1,product_images/406.jpg
